case_id,gmd_m,bess_bus,bess_mw,contingency,processed,solved,island_status,islanded_load_mw,islanded_gen_mw,v_min_energized_pu,v_min_bus,v_max_energized_pu,voltage_criterion,margin_to_0p95_pu,max_loading_pct,governing_element,thermal_criterion,evidence_bus_aux,evidence_branch_aux,data_class,notes
BESS-02,0.9144,6,5.25,FallaElevador2_PuntaEvans,YES,YES,NO,0,0,0.958465,6,1,CUMPLE,0.008465,59.154772,1-2-1,CUMPLE,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Bus.aux,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-02,0.9144,6,5.25,FallaElevador3_PuntaEvans,YES,YES,NO,0,0,0.958465,6,1,CUMPLE,0.008465,59.154772,1-2-1,CUMPLE,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Bus.aux,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-02,0.9144,6,5.25,FallaTrafo1_ElBight,YES,YES,NO,0,0,0.953428,5,1,CUMPLE,0.003428,83.085516,3-5-2,CUMPLE,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Bus.aux,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-02,0.9144,6,5.25,FallaTrafo2_ElBight,YES,YES,NO,0,0,0.953428,5,1,CUMPLE,0.003428,83.085516,3-5-1,CUMPLE,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Bus.aux,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-02,0.9144,6,5.25,FallaTrafo1_SchoolHouse,YES,YES,ISLA_CARGA_NO_SERVIDA,13.06,5.25,0.972078,5,1,NR_ISLA,NR,41.13856,3-5-1,CUMPLE,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Bus.aux,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Branch.aux,SIM,La tensión de la isla desenergizada se excluye; Vmin corresponde a barras energizadas de la isla principal.
BESS-03,1.2192,5,10,FallaLinea1_PuntaEvans_ElBight,YES,YES,NO,0,0,0.954768,6,1,CUMPLE,0.004768,61.095134,2-3-2,CUMPLE,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Bus.aux,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-03,1.2192,5,10,FallaLinea2_PuntaEvans_ElBight,YES,YES,NO,0,0,0.954768,6,1,CUMPLE,0.004768,61.095134,2-3-1,CUMPLE,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Bus.aux,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-03,1.2192,5,10,FallaLinea1_PuntaEvans_SchoolHouse,YES,YES,NO,0,0,0.949337,6,1,NO_CUMPLE,-0.000663,61.290417,3-4-1,CUMPLE,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Bus.aux,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-03,1.2192,5,10,FallaLinea1_ElBight_SchoolHouse,YES,YES,NO,0,0,0.949652,6,1,NO_CUMPLE,-0.000348,62.71193,2-4-1,CUMPLE,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Bus.aux,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-03,1.2192,5,10,FallaElevador1_PuntaEvans,YES,YES,NO,0,0,0.958118,6,1,CUMPLE,0.008118,53.194296,4-6-1,CUMPLE,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Bus.aux,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-03,1.2192,5,10,FallaElevador2_PuntaEvans,YES,YES,NO,0,0,0.958118,6,1,CUMPLE,0.008118,53.194296,4-6-1,CUMPLE,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Bus.aux,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-03,1.2192,5,10,FallaElevador3_PuntaEvans,YES,YES,NO,0,0,0.958118,6,1,CUMPLE,0.008118,53.194296,4-6-1,CUMPLE,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Bus.aux,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-03,1.2192,5,10,FallaTrafo1_ElBight,YES,YES,NO,0,0,0.962428,6,1,CUMPLE,0.012428,53.180908,4-6-1,CUMPLE,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Bus.aux,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-03,1.2192,5,10,FallaTrafo2_ElBight,YES,YES,NO,0,0,0.962428,6,1,CUMPLE,0.012428,53.180908,4-6-1,CUMPLE,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Bus.aux,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-03,1.2192,5,10,FallaTrafo1_SchoolHouse,YES,YES,ISLA_CARGA_NO_SERVIDA,13.06,0,0.982522,5,1,NR_ISLA,NR,21.204496,3-5-1,CUMPLE,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Bus.aux,GMD_1p2192m_B5/manual_GMD_1p2192m_Bess_03_Branch.aux,SIM,La tensión de la isla desenergizada se excluye; Vmin corresponde a barras energizadas de la isla principal.
BESS-04,1.2192,6,5.25,FallaLinea1_PuntaEvans_ElBight,YES,YES,NO,0,0,0.950987,5,1,CUMPLE,0.000987,78.811899,2-3-2,CUMPLE,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Bus.aux,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-04,1.2192,6,5.25,FallaLinea2_PuntaEvans_ElBight,YES,YES,NO,0,0,0.950987,5,1,CUMPLE,0.000987,78.811899,2-3-1,CUMPLE,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Bus.aux,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-04,1.2192,6,5.25,FallaLinea1_PuntaEvans_SchoolHouse,YES,YES,NO,0,0,0.950074,6,1,CUMPLE,0.000074,67.331966,2-3-1,CUMPLE,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Bus.aux,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-04,1.2192,6,5.25,FallaLinea1_ElBight_SchoolHouse,YES,YES,NO,0,0,0.962907,6,1,CUMPLE,0.012907,48.067384,2-3-1,CUMPLE,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Bus.aux,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-04,1.2192,6,5.25,FallaElevador1_PuntaEvans,YES,YES,NO,0,0,0.958236,6,1,CUMPLE,0.008236,59.168464,1-2-2,CUMPLE,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Bus.aux,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-04,1.2192,6,5.25,FallaElevador2_PuntaEvans,YES,YES,NO,0,0,0.958236,6,1,CUMPLE,0.008236,59.168464,1-2-1,CUMPLE,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Bus.aux,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-04,1.2192,6,5.25,FallaElevador3_PuntaEvans,YES,YES,NO,0,0,0.958236,6,1,CUMPLE,0.008236,59.168464,1-2-1,CUMPLE,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Bus.aux,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-04,1.2192,6,5.25,FallaTrafo1_ElBight,YES,YES,NO,0,0,0.953197,5,1,CUMPLE,0.003197,83.08632,3-5-2,CUMPLE,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Bus.aux,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-04,1.2192,6,5.25,FallaTrafo2_ElBight,YES,YES,NO,0,0,0.953197,5,1,CUMPLE,0.003197,83.08632,3-5-1,CUMPLE,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Bus.aux,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-04,1.2192,6,5.25,FallaTrafo1_SchoolHouse,YES,YES,ISLA_CARGA_NO_SERVIDA,13.06,5.25,0.971947,5,1,NR_ISLA,NR,41.138656,3-5-1,CUMPLE,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Bus.aux,GMD_1p2192m_B6/manual_GMD_1p2192m_Bess_04_Branch.aux,SIM,La tensión de la isla desenergizada se excluye; Vmin corresponde a barras energizadas de la isla principal.
