caso,gmd_m,barra_bess,p_bess_mw,contingencia,estado,v_min_energizada_pu,barra_v_min,margen_0p95_pu,carga_max_pct,elemento_termico,isla_carga_no_servida_mw,criterio,procedencia
BESS-02,0.9144,6,5.25,FallaLinea1_ElBight_SchoolHouse,RESUELTA,0.963156,6,0.013156,48.059512,2-3-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-02,0.9144,6,5.25,FallaElevador1_PuntaEvans,RESUELTA,0.958465,6,0.008465,59.154772,1-2-2,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-02,0.9144,6,5.25,FallaElevador2_PuntaEvans,RESUELTA,0.958465,6,0.008465,59.154772,1-2-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-02,0.9144,6,5.25,FallaElevador3_PuntaEvans,RESUELTA,0.958465,6,0.008465,59.154772,1-2-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-02,0.9144,6,5.25,FallaTrafo1_ElBight,RESUELTA,0.953428,5,0.003428,83.085516,3-5-2,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-02,0.9144,6,5.25,FallaTrafo2_ElBight,RESUELTA,0.953428,5,0.003428,83.085516,3-5-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-02,0.9144,6,5.25,FallaTrafo1_SchoolHouse,ISLA_CARGA_NO_SERVIDA,0.972078,5,NR,41.13856,3-5-1,13.06,NR_TENSION_ISLA,SIM
BESS-03,1.2192,5,10,FallaLinea1_PuntaEvans_ElBight,RESUELTA,0.954768,6,0.004768,61.095134,2-3-2,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-03,1.2192,5,10,FallaLinea2_PuntaEvans_ElBight,RESUELTA,0.954768,6,0.004768,61.095134,2-3-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-03,1.2192,5,10,FallaLinea1_PuntaEvans_SchoolHouse,RESUELTA,0.949337,6,-0.000663,61.290417,3-4-1,0,NO_CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-03,1.2192,5,10,FallaLinea1_ElBight_SchoolHouse,RESUELTA,0.949652,6,-0.000348,62.71193,2-4-1,0,NO_CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-03,1.2192,5,10,FallaElevador1_PuntaEvans,RESUELTA,0.958118,6,0.008118,53.194296,4-6-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-03,1.2192,5,10,FallaElevador2_PuntaEvans,RESUELTA,0.958118,6,0.008118,53.194296,4-6-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-03,1.2192,5,10,FallaElevador3_PuntaEvans,RESUELTA,0.958118,6,0.008118,53.194296,4-6-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-03,1.2192,5,10,FallaTrafo1_ElBight,RESUELTA,0.962428,6,0.012428,53.180908,4-6-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-03,1.2192,5,10,FallaTrafo2_ElBight,RESUELTA,0.962428,6,0.012428,53.180908,4-6-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-03,1.2192,5,10,FallaTrafo1_SchoolHouse,ISLA_CARGA_NO_SERVIDA,0.982522,5,NR,21.204496,3-5-1,13.06,NR_TENSION_ISLA,SIM
BESS-04,1.2192,6,5.25,FallaLinea1_PuntaEvans_ElBight,RESUELTA,0.950987,5,0.000987,78.811899,2-3-2,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-04,1.2192,6,5.25,FallaLinea2_PuntaEvans_ElBight,RESUELTA,0.950987,5,0.000987,78.811899,2-3-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-04,1.2192,6,5.25,FallaLinea1_PuntaEvans_SchoolHouse,RESUELTA,0.950074,6,0.000074,67.331966,2-3-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-04,1.2192,6,5.25,FallaLinea1_ElBight_SchoolHouse,RESUELTA,0.962907,6,0.012907,48.067384,2-3-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-04,1.2192,6,5.25,FallaElevador1_PuntaEvans,RESUELTA,0.958236,6,0.008236,59.168464,1-2-2,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-04,1.2192,6,5.25,FallaElevador2_PuntaEvans,RESUELTA,0.958236,6,0.008236,59.168464,1-2-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-04,1.2192,6,5.25,FallaElevador3_PuntaEvans,RESUELTA,0.958236,6,0.008236,59.168464,1-2-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-04,1.2192,6,5.25,FallaTrafo1_ElBight,RESUELTA,0.953197,5,0.003197,83.08632,3-5-2,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-04,1.2192,6,5.25,FallaTrafo2_ElBight,RESUELTA,0.953197,5,0.003197,83.08632,3-5-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-04,1.2192,6,5.25,FallaTrafo1_SchoolHouse,ISLA_CARGA_NO_SERVIDA,0.971947,5,NR,41.138656,3-5-1,13.06,NR_TENSION_ISLA,SIM
